Hour_number,Date,Delivered_Energy_WH,Delivered_Energy_SH,Net_Demand,Total_Demand,,
0,2019-01-01,187.4096306,2540.204479,4380.594163,7108.208272,,10629.82956
1,2019-01-01,134.6222028,2496.409574,4332.919979,6963.951756,,
2,2019-01-01,118.7835369,2505.898427,4223.434226,6848.11619,,
3,2019-01-01,110.5243102,2492.677702,4184.973717,6788.17573,,
4,2019-01-01,127.1261214,2560.368782,4151.098002,6838.592906,,
5,2019-01-01,161.780272,2664.698257,4107.547456,6934.025985,,
6,2019-01-01,297.7949412,2940.457281,3877.831187,7116.08341,,
7,2019-01-01,422.5770752,2895.988746,4049.5231,7368.088922,,
8,2019-01-01,488.0523517,2903.429666,4200.254008,7591.736026,,
9,2019-01-01,487.9053753,2971.306964,4322.029052,7781.241391,,
10,2019-01-01,459.9919408,2965.919711,4483.811531,7909.723184,,
11,2019-01-01,380.0608185,2803.826891,4698.737743,7882.625453,,
12,2019-01-01,333.0583794,2604.490409,4972.216039,7909.764827,,
13,2019-01-01,308.4486335,2498.660006,5103.881661,7910.990301,,
14,2019-01-01,297.3416399,2459.14857,5124.46974,7880.959949,,
15,2019-01-01,304.6651131,2480.361126,5223.246367,8008.272606,,
16,2019-01-01,295.4862004,2682.161152,5443.28383,8420.931182,,
17,2019-01-01,319.0395471,2827.806717,5563.846252,8710.692516,,
18,2019-01-01,332.3196786,2783.847223,5475.845173,8592.012074,,
19,2019-01-01,334.9051081,2797.061147,5267.250725,8399.21698,,
20,2019-01-01,305.4279602,2891.389959,5027.430012,8224.247931,,
21,2019-01-01,243.2644282,2714.490904,4939.866656,7897.621988,,
22,2019-01-01,201.7932001,2566.125829,4750.37403,7518.293058,,
23,2019-01-01,182.1087511,2479.547082,4398.888863,7060.544697,,
24,2019-01-02,159.5353213,2452.937013,4215.139529,6827.611863,,
25,2019-01-02,120.309241,2472.919657,4072.957974,6666.186872,,
26,2019-01-02,112.1067469,2491.163421,4008.684451,6611.954619,,
27,2019-01-02,120.2436987,2479.696718,3991.963641,6591.904058,,
28,2019-01-02,173.8177915,2610.578931,3942.792162,6727.188884,,
29,2019-01-02,326.9711164,2781.677654,3969.293653,7077.942422,,
30,2019-01-02,533.8368545,3794.884081,3307.846679,7636.567614,,
31,2019-01-02,554.1799232,3612.696783,4084.844182,8251.720888,,
32,2019-01-02,422.43991,3402.547647,4655.314261,8480.301818,,
33,2019-01-02,353.4991822,3360.518952,4912.84083,8626.858964,,
34,2019-01-02,288.125978,3214.951308,5189.084668,8692.161954,,
35,2019-01-02,252.7391596,3020.858718,5441.766426,8715.364304,,
36,2019-01-02,234.4428084,2968.960419,5537.932647,8741.335874,,
37,2019-01-02,224.5899614,2814.669359,5742.36019,8781.619511,,
38,2019-01-02,215.9017494,2780.15421,5781.560034,8777.615994,,
39,2019-01-02,236.1097062,2760.067334,5843.121535,8839.298576,,
40,2019-01-02,267.4161619,2928.76642,6066.423882,9262.606464,,
41,2019-01-02,299.4903788,3101.959409,6062.659181,9464.108969,,
42,2019-01-02,334.1295359,3119.31125,5842.465861,9295.906647,,
43,2019-01-02,328.8055954,3102.422362,5622.281868,9053.509826,,
44,2019-01-02,302.2767818,3142.971176,5316.867525,8762.115483,,
45,2019-01-02,243.4819225,2743.676737,5504.511015,8491.669675,,
46,2019-01-02,190.6650741,2553.553024,5157.715913,7901.934011,,
47,2019-01-02,172.2126144,2440.821209,4831.481909,7444.515732,,
48,2019-01-03,159.7114528,2362.802989,4487.612378,7010.126821,,
49,2019-01-03,120.2227403,2401.177439,4297.517485,6818.917664,,
50,2019-01-03,112.1583825,2414.863341,4199.6088,6726.630523,,
51,2019-01-03,120.2541452,2468.41737,4150.296101,6738.967616,,
52,2019-01-03,173.8420164,2534.938035,4048.786166,6757.566217,,
53,2019-01-03,327.0160327,2732.128663,4001.722182,7060.866877,,
54,2019-01-03,533.8706402,3575.112845,3443.495081,7552.478566,,
55,2019-01-03,554.1388339,3424.842698,4175.308065,8154.289596,,
56,2019-01-03,422.4180827,3222.615107,4739.506348,8384.539538,,
57,2019-01-03,353.5628985,3043.729203,5145.167492,8542.459593,,
58,2019-01-03,288.0199658,2998.575861,5270.413778,8557.009605,,
59,2019-01-03,252.7924463,2836.533143,5461.441585,8550.767174,,
60,2019-01-03,234.2769295,2681.689915,5647.220932,8563.187777,,
61,2019-01-03,224.8214904,2674.558878,5654.854147,8554.234516,,
62,2019-01-03,215.7976026,2647.693491,5618.210364,8481.701458,,
63,2019-01-03,236.2139842,2832.992894,5436.752336,8505.959214,,
64,2019-01-03,267.3174292,2938.240595,5715.710566,8921.26859,,
65,2019-01-03,299.4903863,3025.158129,5736.915123,9061.563639,,
66,2019-01-03,334.113043,2927.216195,5550.628157,8811.957395,,
67,2019-01-03,328.9241605,2843.157772,5487.928735,8660.010667,,
68,2019-01-03,302.2533842,2945.34487,5106.17997,8353.778224,,
69,2019-01-03,243.5984271,2590.891382,5177.459364,8011.949173,,
70,2019-01-03,190.676572,2357.365963,4981.518666,7529.561201,,
71,2019-01-03,172.2379025,2243.187781,4633.830626,7049.25631,,
72,2019-01-04,187.8003858,2197.983432,4350.814192,6736.598009,,
73,2019-01-04,134.5669681,2205.871027,4165.385959,6505.823954,,
74,2019-01-04,118.7856074,2221.098811,4076.315808,6416.200227,,
75,2019-01-04,110.5719405,2220.138511,4071.919221,6402.629673,,
76,2019-01-04,127.0973023,2300.562854,4062.650547,6490.310703,,
77,2019-01-04,162.4008243,2526.118529,4119.694863,6808.214216,,
78,2019-01-04,299.3897748,3356.477744,3719.429064,7375.296583,,
79,2019-01-04,424.8348931,3244.183997,4274.78687,7943.80576,,
80,2019-01-04,488.0919753,2963.164832,4676.482974,8127.739782,,
81,2019-01-04,488.3287075,2814.085215,4914.222767,8216.63669,,
82,2019-01-04,461.0221039,2680.881215,5087.814879,8229.718198,,
83,2019-01-04,380.9848099,2543.549842,5248.977768,8173.51242,,
84,2019-01-04,335.0535656,2420.534882,5334.81679,8090.405237,,
85,2019-01-04,310.2815878,2450.7275,5263.120979,8024.130067,,
86,2019-01-04,299.1286071,2398.511875,5288.613971,7986.254453,,
87,2019-01-04,305.9864581,2455.466505,5257.672772,8019.125736,,
88,2019-01-04,296.7482517,2593.330944,5637.481662,8527.560858,,
89,2019-01-04,320.0765799,2736.07375,5699.989065,8756.139395,,
90,2019-01-04,334.6418879,2647.196544,5657.052892,8638.891323,,
91,2019-01-04,335.4935947,2658.528694,5384.756601,8378.778889,,
92,2019-01-04,305.8990293,2597.4883,5215.705446,8119.092775,,
93,2019-01-04,244.8189917,2401.376264,5170.246872,7816.442128,,
94,2019-01-04,201.1241885,2203.951969,5021.846917,7426.923075,,
95,2019-01-04,181.5288537,2169.689906,4670.075705,7021.294465,,
96,2019-01-05,187.811372,2112.722904,4352.471389,6653.005665,,
97,2019-01-05,134.6483999,2175.154905,4116.546805,6426.35011,,
98,2019-01-05,118.7587622,2150.714144,4021.78173,6291.254636,,
99,2019-01-05,110.7081073,2178.452018,3934.357192,6223.517318,,
100,2019-01-05,127.0864536,2226.323289,3898.338127,6251.74787,,
101,2019-01-05,162.443123,2387.192961,3819.723096,6369.35918,,
102,2019-01-05,299.3661545,3026.733129,3288.056921,6614.156204,,
103,2019-01-05,424.7872892,3038.164911,3579.389365,7042.341566,,
104,2019-01-05,487.9908252,2755.472284,4177.560979,7421.024088,,
