Hour_number,Date,Delivered_Energy_WH,Delivered_Energy_SH,Net_Demand,Total_Demand
61,2015-01-03,224.82149039126148,2694.7025981149563,5711.5533078738,8631.077396380017
62,2015-01-03,215.79760263843244,2666.9251662228726,5679.409903312141,8562.132672173446
63,2015-01-03,236.21398420261391,2853.4936373133837,5604.527544594289,8694.235166110288
64,2015-01-03,267.3174291607302,2960.0903932050564,5946.974480030237,9174.382302396023
65,2015-01-03,299.4903863097892,3046.4955380990014,6089.977129613516,9435.963054022306
66,2015-01-03,334.1130430357776,2948.8196619866176,5956.422789715326,9239.355494737722
67,2015-01-03,328.9241604939386,2864.99283197611,5777.641565390116,8971.558557860164
68,2015-01-03,302.2533841817782,2968.685907251508,5481.722035670271,8752.661327103557
69,2015-01-03,243.59842706416654,2611.7927736473926,5621.686947662838,8477.078148374398
70,2015-01-03,190.6765720323541,2376.9677725363013,5514.683130845024,8082.327475413679
71,2015-01-03,172.23790249036506,2262.437657144257,5199.075795918676,7633.751355553298
72,2015-01-04,187.80038578806284,2215.158644504543,4899.608823495001,7302.567853787607
73,2015-01-04,134.56696808949,2222.5290008642933,4746.487608968226,7103.583577922009
74,2015-01-04,118.78560735976612,2237.278282672857,4649.608205769056,7005.6720958016795
75,2015-01-04,110.57194048245947,2236.572715667011,4661.93932004039,7009.083976189861
76,2015-01-04,127.09730232485073,2319.493062035939,4610.598365452291,7057.1887298130805
77,2015-01-04,162.4008243214276,2549.7008860730734,4488.444392445154,7200.546102839655
78,2015-01-04,299.3897748236187,3388.849638785343,3733.70176087755,7421.941174486512
79,2015-01-04,424.8348931461241,3275.5311927906805,4147.480096067402,7847.846182004207
80,2015-01-04,488.0919753412745,2990.2622243821825,4785.4042329589865,8263.758432682444
81,2015-01-04,488.3287074645298,2839.6825056329462,5310.596829456916,8638.608042554391
82,2015-01-04,461.02210388787404,2705.9142518090584,5696.2040997681015,8863.140455465034
83,2015-01-04,380.9848099117311,2569.195533128035,6088.011211001318,9038.191554041085
84,2015-01-04,335.0535656052419,2445.02937213787,6328.9745015427,9109.05743928581
85,2015-01-04,310.28158775398157,2475.5754110238304,6308.961920861239,9094.818919639052
86,2015-01-04,299.12860707562857,2423.3016201601217,6362.615194065871,9085.045421301622
87,2015-01-04,305.9864580873831,2479.5374797059635,6450.280234207683,9235.80417200103
88,2015-01-04,296.74825172095234,2616.7806699875314,6756.619013714683,9670.147935423167
89,2015-01-04,320.07657988655694,2760.1102113973757,6770.931457929967,9851.1182492139
90,2015-01-04,334.6418879390793,2668.823408362649,6612.571271204063,9616.036567505791
91,2015-01-04,335.49359474056115,2677.8015955299397,6281.014641777105,9294.309832047606
92,2015-01-04,305.8990293369607,2614.803250814972,6114.635184411039,9035.337464562972
93,2015-01-04,244.8189916888139,2417.249045061652,5955.980615785968,8618.048652536434
94,2015-01-04,201.12418850982738,2217.3720714271053,5635.614923407226,8054.111183344159
95,2015-01-04,181.52885371335432,2181.7633924194133,5137.678433966679,7500.970680099446
96,2015-01-05,187.81137198337674,2123.798619267267,4845.474020869771,7157.084012120415
97,2015-01-05,134.64839994572748,2185.341124878592,4653.98669031746,6973.976215141779
98,2015-01-05,118.75876218052233,2159.1462905767635,4614.386064545392,6892.291117302679
99,2015-01-05,110.70810726093949,2187.310952336958,4588.577210709369,6886.596270307266
100,2015-01-05,127.08645355525968,2236.666944223035,4521.180925266657,6884.934323044952
101,2015-01-05,162.44312298774528,2399.1628434203385,4726.858982624412,7288.464949032496
102,2015-01-05,299.36615452576643,3042.6017145591513,4609.317655369493,7951.285524454411
103,2015-01-05,424.7872892430444,3054.0600247009797,5290.945274798337,8769.79258874236
104,2015-01-05,487.99082517441127,2767.319963102682,5742.611395761372,8997.922184038465
105,2015-01-05,488.4779406278141,2718.394244830233,5784.478513427034,8991.350698885082
106,2015-01-05,460.84942765495106,2642.7654812542078,5954.334023551185,9057.948932460344
107,2015-01-05,381.1462943882642,2554.2404121641703,6088.831492759419,9024.218199311854
108,2015-01-05,334.94304329897903,2480.0406578463217,6217.835689936903,9032.819391082203
109,2015-01-05,310.4636603991924,2485.6434549759088,6206.154621217294,9002.261736592396
110,2015-01-05,298.94253198804137,2418.838009610066,6224.244210563995,8942.024752162102
111,2015-01-05,306.0674748747888,2461.7701793297706,6238.581457341585,9006.419111546144
112,2015-01-05,296.65332531413236,2647.663221344604,6538.8929317605825,9483.20947841932
113,2015-01-05,320.12701457525316,2762.4370713419103,6629.199201356911,9711.763287274074
114,2015-01-05,334.73055346251846,2703.6787020795678,6458.000417002791,9496.409672544878
115,2015-01-05,335.49265018023624,2730.7866192183574,6105.9201647466,9172.199434145194
116,2015-01-05,306.0325798123848,2666.753062758102,5976.388122921263,8949.173765491749
117,2015-01-05,244.6807939117298,2323.8901854047485,5987.546965867656,8556.117945184134
118,2015-01-05,201.26180032588726,2153.6728835969243,5598.122311487115,7953.0569954099265
119,2015-01-05,181.45436747010336,2061.608471980173,5099.471159634961,7342.533999085237
120,2015-01-06,159.62787821533558,1958.5602443948353,4811.018081131237,6929.206203741407
121,2015-01-06,120.30245339022895,1984.5498336050084,4559.817397938237,6664.669684933475
122,2015-01-06,112.030484424346,1979.217803902949,4459.975989601358,6551.2242779286535
123,2015-01-06,120.20566421185674,1980.302848290672,4399.056857460709,6499.565369963238
124,2015-01-06,173.9251194088472,2037.8914915306393,4345.71181967298,6557.528430612467
125,2015-01-06,327.0076207501731,2203.3129509191704,4324.160843853249,6854.481415522592
126,2015-01-06,533.7689371389041,3226.2823251445916,3665.477371723324,7425.52863400682
127,2015-01-06,554.276931511273,3239.797937092123,4407.130968803796,8201.205837407193
128,2015-01-06,422.3909656902522,3029.9536625194114,4996.135238602079,8448.479866811744
129,2015-01-06,353.4598173468056,2724.221892078315,5363.393131523594,8441.074840948715
130,2015-01-06,288.12007749330417,2493.4559648484947,5704.112367892208,8485.688410234006
131,2015-01-06,252.6211833438037,2331.1873049230135,5873.437732788865,8457.246221055682
132,2015-01-06,234.4949768030579,2078.2278241869008,6092.635286778888,8405.358087768847
133,2015-01-06,224.58031325430287,2060.137257714734,6081.737452220069,8366.455023189106
134,2015-01-06,215.81068781613473,2027.4362231028929,6063.174458961763,8306.42136988079
135,2015-01-06,236.19836143528516,2090.9070710635756,6058.697959777396,8385.803392276257
136,2015-01-06,267.2872706507432,2322.917430946825,6237.946448298615,8828.151149896183
137,2015-01-06,299.44507462438463,2511.83976292555,6387.569021204431,9198.853858754366
138,2015-01-06,334.20278072911725,2562.850324067631,6170.630283606963,9067.683388403711
139,2015-01-06,328.91276087803647,2637.3596870851406,5910.55969018591,8876.832138149086
140,2015-01-06,302.2081293263772,2654.570879030327,5606.498250699687,8563.27725905639
141,2015-01-06,243.6362991474615,2269.8920613213427,5716.679943103763,8230.208303572568
142,2015-01-06,190.53201035484813,1965.9287583045366,5562.169998195417,7718.630766854802
143,2015-01-06,172.17979554674778,1858.2094388724672,5214.7644318548155,7245.153666274031
144,2015-01-07,159.74086797578929,1834.142720548683,4944.790789699829,6938.674378224301
145,2015-01-07,120.24867196382243,1846.468607842481,4700.932487044361,6667.6497668506645
146,2015-01-07,112.06294947381875,1862.9052829438301,4604.903161833943,6579.8713942515915
147,2015-01-07,120.19052898038474,1977.5569602989021,4460.180131030477,6557.927620309764
148,2015-01-07,173.7042803979615,2009.1163238768154,4455.932552208499,6638.753156483276
149,2015-01-07,326.64604998061117,2034.663683039518,4706.971242722407,7068.280975742536
150,2015-01-07,532.1255168169876,2402.2965440559624,4689.923682295089,7624.345743168039
151,2015-01-07,552.186248463434,2664.982682615454,5245.188773917856,8462.357704996744
152,2015-01-07,422.5659096487591,2661.002771702782,5507.295263964435,8590.863945315978
153,2015-01-07,353.1437644497386,2431.394292071176,5761.072492320841,8545.610548841756
154,2015-01-07,287.39514907565643,2219.613244597271,6015.331436773289,8522.339830446217
155,2015-01-07,251.97940073794868,2226.0628177786425,5974.300510947384,8452.342729463975
156,2015-01-07,232.8732775279257,2065.075796652132,6103.653295420072,8401.60236960013
157,2015-01-07,222.92978702049137,2052.175635058061,6052.973867426162,8328.079289504714
158,2015-01-07,214.44959785179654,2018.7756938987282,6049.462336709807,8282.687628460331
159,2015-01-07,234.88817507871872,2117.8903652834542,5995.349182197663,8348.127722559835
160,2015-01-07,266.1887897621956,2319.5650903565925,6326.10533465276,8911.859214771548
161,2015-01-07,298.39559175115414,2437.411385216671,6592.955259807813,9328.762236775638
162,2015-01-07,331.75071068960693,2312.175942262659,6528.520064288001,9172.446717240267
163,2015-01-07,328.4469352777876,2249.742513414233,6389.220358899336,8967.409807591357
164,2015-01-07,301.87064225183826,2183.79961318733,6244.062556705916,8729.732812145085
165,2015-01-07,242.58926999428172,2083.522506033422,5951.477338521853,8277.589114549557
166,2015-01-07,191.41566899403347,1950.9827894102361,5624.4836186834245,7766.882077087694
167,2015-01-07,172.86436127675086,1893.536108081145,5178.0086417854,7244.409111143295
168,2015-01-08,159.55675929769106,1850.9543376672837,4886.85063828926,6897.361735254235
169,2015-01-08,120.2505742929282,1810.3635703821608,4749.741164468894,6680.355309143983
170,2015-01-08,112.01170970588653,1812.9736105615825,4717.277006009504,6642.262326276972
171,2015-01-08,120.22526354170759,1858.7399531659644,4614.443535455209,6593.408752162881
172,2015-01-08,174.00298410694137,1906.6222117896598,4662.542539984473,6743.167735881074
173,2015-01-08,326.22501893737024,2070.586951126564,4655.0338238534605,7051.845793917395
174,2015-01-08,532.3237157002354,2454.798587357153,4727.019755492343,7714.142058549732
175,2015-01-08,552.0398946817849,2427.4216690099415,5562.352251913829,8541.813815605556
176,2015-01-08,422.64837357626817,2371.367485871483,5950.017711765,8744.03357121275
177,2015-01-08,352.9304745488485,2263.323541634788,6098.247141513186,8714.501157696823
178,2015-01-08,287.61925676274,2153.1079146362486,6223.644718303307,8664.371889702295
179,2015-01-08,251.60467112814982,2076.5555973384676,6228.8414580386,8557.001726505217
180,2015-01-08,232.7177472653261,1969.8593555526802,6233.267349630013,8435.844452448018
181,2015-01-08,222.90072896019748,1905.9313277880474,6178.276751242815,8307.10880799106
182,2015-01-08,214.39170929711526,1929.2691588864188,6110.341629320603,8254.002497504138
183,2015-01-08,234.80119797034865,1941.202893029616,6137.553057173039,8313.557148173004
184,2015-01-08,266.2634979022871,2103.3637147793697,6353.305421940755,8722.932634622412
185,2015-01-08,298.4199099889307,2270.7477667394733,6576.628066571897,9145.795743300301
186,2015-01-08,331.5617902999055,2237.3267323651207,6480.005921055564,9048.89444372059
187,2015-01-08,328.334253994724,2243.635742774836,6278.306051950699,8850.27604872026
188,2015-01-08,301.78759516098376,2269.3547458409403,6049.877094865014,8621.01943586694
189,2015-01-08,242.67227083036462,2164.574683697668,5906.566918305357,8313.81387283339
190,2015-01-08,191.4626414915816,2075.995557082551,5479.475107194171,7746.933305768303
191,2015-01-08,172.65428974839935,2018.212980179061,5031.0931718142465,7221.960441741707
192,2015-01-09,159.44101282887115,1920.5713320424804,4776.51625110137,6856.528595972721
193,2015-01-09,120.50884493113212,2019.8496014451562,4537.169957295909,6677.528403672197
194,2015-01-09,112.15563546073,2023.8336907332516,4488.763891369386,6624.753217563368
195,2015-01-09,120.17709349482348,2017.9806565395695,4486.181503791275,6624.339253825668
196,2015-01-09,173.85247536493287,2171.1914139527707,4386.288335375238,6731.332224692942
197,2015-01-09,327.0698542527705,2323.203383344431,4465.816350035264,7116.089587632466
198,2015-01-09,533.7281476631746,3398.337169872314,3850.2224281431704,7782.287745678659
199,2015-01-09,554.2908518010533,3239.619518204033,4803.558122322604,8597.468492327691
200,2015-01-09,422.33016362982727,3042.8852001216924,5312.977781323851,8778.193145075371
201,2015-01-09,353.5964394257152,2876.4763168357513,5518.197452486662,8748.270208748128
202,2015-01-09,288.1460568636562,2753.3058844434618,5607.2404256550035,8648.692366962121
203,2015-01-09,252.83641224945708,2583.015615136044,5772.516758827797,8608.368786213297
204,2015-01-09,234.42486596720747,2386.910841662302,5840.569443934626,8461.905151564137
205,2015-01-09,224.8183575861139,2272.488741205588,5866.694287758223,8364.001386549926
206,2015-01-09,215.75988958814304,2208.060440212503,5854.686100700771,8278.506430501417
207,2015-01-09,236.3991378145417,2211.128007505324,5902.987321552438,8350.514466872304
208,2015-01-09,267.09871333734674,2332.3254909663156,6136.426425611983,8735.850629915645
209,2015-01-09,299.6609705873338,2591.1689803679537,6187.049453154839,9077.879404110126
210,2015-01-09,334.0626710951866,2535.9961386749474,6086.667284477834,8956.726094247968
211,2015-01-09,329.06236570098037,2503.4181168196515,5849.349248679797,8681.829731200429
212,2015-01-09,302.21559680129485,2505.2439009633013,5638.916097016642,8446.375594781239
213,2015-01-09,243.60365189966538,2163.9239344806265,5706.404585095106,8113.932171475398
214,2015-01-09,190.75120837547095,2023.9536946278854,5422.302822095972,7637.007725099329
215,2015-01-09,172.21630391561877,1927.2109771738787,5094.905870976065,7194.333152065563
216,2015-01-10,159.65847568877095,1931.298578423638,4734.5600058278715,6825.517059940281
217,2015-01-10,120.13437652736695,1921.1660377574322,4572.314457357065,6613.614871641865
218,2015-01-10,112.08661351216979,1939.64686777821,4484.824559648445,6536.558040938824
219,2015-01-10,120.23557314565736,1950.6729494336662,4384.016723223949,6454.925245803273
220,2015-01-10,173.99777037475377,1974.780726162764,4367.550545794908,6516.329042332426
221,2015-01-10,327.04678907718454,2119.3508067539015,4291.105158349474,6737.502754180559
222,2015-01-10,533.7281479989499,2855.9925848519492,3638.6101705114443,7028.330903362344
223,2015-01-10,554.3759605017377,2872.602236944328,4019.5804745370865,7446.558671983152
224,2015-01-10,422.39397990054897,2706.5399639409748,4772.032942577727,7900.966886419251
225,2015-01-10,353.5756414000524,2565.80732797495,5260.036040207561,8179.419009582563
226,2015-01-10,288.20368597284164,2513.361256655231,5492.340891514903,8293.905834142975
227,2015-01-10,252.65091603472666,2348.3004766876584,5667.997573111597,8268.948965833983
228,2015-01-10,234.51863103247172,2253.412063374036,5713.062406382019,8200.993100788526
229,2015-01-10,224.72406249740737,2139.7326832329204,5720.110339836177,8084.567085566505
230,2015-01-10,215.8589857715817,2061.8966829044407,5740.667378525506,8018.423047201528
231,2015-01-10,236.19998777071908,2070.786030489581,5818.769311861951,8125.755330122251
232,2015-01-10,267.3715211151585,2327.6636789773142,5855.695790568551,8450.730990661024
233,2015-01-10,299.5414366197816,2479.0113400830414,5917.624003203527,8696.17677990635
234,2015-01-10,334.20537313702334,2454.5872699913143,5758.7491786809915,8547.54182180933
235,2015-01-10,328.82910509926165,2473.2750211270795,5468.42741146868,8270.53153769502
236,2015-01-10,302.26342618991475,2479.2313018989394,5242.7044210662225,8024.199149155076
237,2015-01-10,243.59475378701538,2159.4625010365626,5311.828018487169,7714.885273310747
238,2015-01-10,190.70275485022265,2018.8281811319903,5109.3192804461505,7318.850216428364
239,2015-01-10,172.31875500936096,1949.5460287239064,4804.856386998802,6926.721170732069
240,2015-01-11,187.79778382146475,1895.5367190839845,4516.019198832547,6599.353701737997
241,2015-01-11,134.70615422927096,1873.4802868058111,4414.738125444894,6422.924566479976
