Hour_number,Date,Delivered_Energy_WH,Delivered_Energy_SH,Net_Demand,Total_Demand,,
0,2017-01-01,187.4096306,2545.755203,4923.441841,7656.606675,,10773.68446
1,2017-01-01,134.6222028,2502.666852,4797.115801,7434.404856,,
2,2017-01-01,118.7835369,2512.09787,4641.820168,7272.701575,,
3,2017-01-01,110.5243102,2495.875831,4582.42051,7188.820651,,
4,2017-01-01,127.1261214,2566.008804,4483.997971,7177.132897,,
5,2017-01-01,161.780272,2670.562703,4417.368861,7249.711836,,
6,2017-01-01,297.7949412,2947.573146,4195.989957,7441.358045,,
7,2017-01-01,422.5770752,2903.42894,4426.149805,7752.155819,,
8,2017-01-01,488.0523517,2912.542033,4626.772806,8027.36719,,
9,2017-01-01,487.9053753,2982.014279,4762.6745,8232.594155,,
10,2017-01-01,459.9919408,2977.139706,4920.575152,8357.706798,,
11,2017-01-01,380.0608185,2814.397623,5231.93249,8426.390931,,
12,2017-01-01,333.0583794,2613.1588,5477.061748,8423.278928,,
13,2017-01-01,308.4486335,2507.294334,5584.439618,8400.182586,,
14,2017-01-01,297.3416399,2467.152496,5615.951232,8380.445369,,
15,2017-01-01,304.6651131,2489.619934,5718.644341,8512.929388,,
16,2017-01-01,295.4862004,2691.952698,6092.089279,9079.528177,,
17,2017-01-01,319.0395471,2838.56037,6299.921947,9457.521864,,
18,2017-01-01,332.3196786,2794.959318,6197.275404,9324.554401,,
19,2017-01-01,334.9051081,2810.362783,6028.011863,9173.279754,,
20,2017-01-01,305.4279602,2905.505158,5765.142782,8976.0759,,
21,2017-01-01,243.2644282,2727.944304,5812.218739,8783.42747,,
22,2017-01-01,201.7932001,2581.741317,5646.929459,8430.463976,,
23,2017-01-01,182.1087511,2494.774552,5374.65374,8051.537043,,
24,2017-01-02,159.5353213,2470.1852,5170.261378,7799.9819,,
25,2017-01-02,120.309241,2495.196733,5034.100379,7649.606353,,
26,2017-01-02,112.1067469,2514.154742,4977.020572,7603.282061,,
27,2017-01-02,120.2436987,2503.448893,4985.718128,7609.410719,,
28,2017-01-02,173.8177915,2639.680639,4947.188473,7760.686904,,
29,2017-01-02,326.9711164,2814.933891,4851.543663,7993.44867,,
30,2017-01-02,533.8368545,3839.677038,4037.965649,8411.479541,,
31,2017-01-02,554.1799232,3663.557571,4629.701905,8847.439399,,
32,2017-01-02,422.43991,3452.657293,5263.630056,9138.727259,,
33,2017-01-02,353.4991822,3403.104098,5589.086706,9345.689986,,
34,2017-01-02,288.125978,3250.444857,5788.074538,9326.645373,,
35,2017-01-02,252.7391596,3048.565458,5976.468879,9277.773496,,
36,2017-01-02,234.4428084,2994.763394,5888.723386,9117.929588,,
37,2017-01-02,224.5899614,2838.650641,5843.072478,8906.31308,,
38,2017-01-02,215.9017494,2804.007226,5885.22461,8905.133585,,
39,2017-01-02,236.1097062,2782.395719,6087.320733,9105.826159,,
40,2017-01-02,267.4161619,2956.387635,6461.063855,9684.867652,,
41,2017-01-02,299.4903788,3135.474143,6822.255385,10257.21991,,
42,2017-01-02,334.1295359,3165.512197,6688.84507,10188.4868,,
43,2017-01-02,328.8055954,3146.767289,6543.354592,10018.92748,,
44,2017-01-02,302.2767818,3189.658239,6325.609559,9817.54458,,
45,2017-01-02,243.4819225,2785.39811,6409.39248,9438.272513,,
46,2017-01-02,190.6650741,2594.353062,6216.679796,9001.697933,,
47,2017-01-02,172.2126144,2480.924311,5870.509614,8523.646539,,
48,2017-01-03,159.7114528,2405.424832,5765.105999,8330.242283,,
49,2017-01-03,120.2227403,2439.446329,5648.321807,8207.990876,,
50,2017-01-03,112.1583825,2462.849601,5527.753178,8102.761161,,
51,2017-01-03,120.2541452,2513.215292,5556.099319,8189.568756,,
52,2017-01-03,173.8420164,2581.522712,5560.402706,8315.767435,,
53,2017-01-03,327.0160327,2783.711668,5606.355019,8717.082719,,
54,2017-01-03,533.8706402,3644.918639,5104.563837,9283.353116,,
55,2017-01-03,554.1388339,3496.328632,5971.990614,10022.45808,,
56,2017-01-03,422.4180827,3283.24616,6579.225944,10284.89019,,
57,2017-01-03,353.5628985,3098.336775,6749.482922,10201.3826,,
58,2017-01-03,288.0199658,3047.523809,6687.966087,10023.50986,,
59,2017-01-03,252.7924463,2883.490642,6685.620722,9821.90381,,
60,2017-01-03,234.2769295,2726.115735,6687.603648,9647.996312,,
61,2017-01-03,224.8214904,2709.976236,6571.846719,9506.644446,,
62,2017-01-03,215.7976026,2682.27561,6590.180215,9488.253428,,
63,2017-01-03,236.2139842,2872.366032,6487.223411,9595.803427,,
64,2017-01-03,267.3174292,2985.312078,6906.9664,10159.59591,,
65,2017-01-03,299.4903863,3080.466386,7393.727686,10773.68446,,
66,2017-01-03,334.113043,2980.143309,7407.634284,10721.89064,,
67,2017-01-03,328.9241605,2893.193474,7277.062425,10499.18006,,
68,2017-01-03,302.2533842,2999.709983,6933.485818,10235.44919,,
69,2017-01-03,243.5984271,2639.152114,6957.811683,9840.562225,,
70,2017-01-03,190.676572,2402.263391,6747.983498,9340.923461,,
71,2017-01-03,172.2379025,2288.322643,6421.367061,8881.927606,,
72,2017-01-04,187.8003858,2240.888953,6153.322409,8582.011748,,
73,2017-01-04,134.5669681,2246.30068,6059.984369,8440.852018,,
74,2017-01-04,118.7856074,2260.953084,5963.793248,8343.531939,,
75,2017-01-04,110.5719405,2266.989179,6011.983011,8389.54413,,
76,2017-01-04,127.0973023,2356.278739,6021.471523,8504.847565,,
77,2017-01-04,162.4008243,2589.076999,6006.118891,8757.596714,,
78,2017-01-04,299.3897748,3439.515477,5619.898418,9358.803669,,
79,2017-01-04,424.8348931,3326.89204,6334.481119,10086.20805,,
80,2017-01-04,488.0919753,3034.445915,6675.647762,10198.18565,,
81,2017-01-04,488.3287075,2873.368708,6793.215623,10154.91304,,
82,2017-01-04,461.0221039,2729.310653,6753.855922,9944.188679,,
83,2017-01-04,380.9848099,2587.133951,6738.524192,9706.642953,,
84,2017-01-04,335.0535656,2453.01252,6749.174565,9537.240651,,
85,2017-01-04,310.2815878,2482.622294,6581.70335,9374.607232,,
86,2017-01-04,299.1286071,2428.031458,6520.976071,9248.136136,,
87,2017-01-04,305.9864581,2481.610736,6571.437945,9359.035138,,
88,2017-01-04,296.7482517,2627.685539,6967.877643,9892.311434,,
89,2017-01-04,320.0765799,2781.121576,7379.586132,10480.78429,,
90,2017-01-04,334.6418879,2693.59745,7391.022642,10419.26198,,
91,2017-01-04,335.4935947,2708.541831,7233.405119,10277.44055,,
92,2017-01-04,305.8990293,2646.491715,7101.273013,10053.66376,,
93,2017-01-04,244.8189917,2449.047277,6960.875586,9654.741855,,
94,2017-01-04,201.1241885,2248.123568,6755.131791,9204.379547,,
95,2017-01-04,181.5288537,2217.443763,6331.50029,8730.472906,,
96,2017-01-05,187.811372,2157.023135,6031.215451,8376.049958,,
97,2017-01-05,134.6483999,2223.135966,5817.340387,8175.124753,,
98,2017-01-05,118.7587622,2195.631562,5786.769742,8101.160066,,
99,2017-01-05,110.7081073,2222.035144,5784.399521,8117.142773,,
100,2017-01-05,127.0864536,2276.009109,5879.395972,8282.491534,,
101,2017-01-05,162.443123,2436.439754,6007.899547,8606.782424,,
102,2017-01-05,299.3661545,3089.957517,5822.273203,9211.596875,,
103,2017-01-05,424.7872892,3102.56906,6525.580946,10052.9373,,
104,2017-01-05,487.9908252,2813.000714,6894.590266,10195.58181,,
105,2017-01-05,488.4779406,2755.68642,6821.995415,10066.15978,,
106,2017-01-05,460.8494277,2667.472478,6760.647337,9888.969244,,
107,2017-01-05,381.1462944,2570.495977,6680.237163,9631.879435,,
108,2017-01-05,334.9430433,2492.786311,6614.579796,9442.30915,,
109,2017-01-05,310.4636604,2497.656802,6511.310386,9319.430848,,
