Hour_number,Date,Delivered_Energy_WH,Delivered_Energy_SH,Net_Demand,Total_Demand,,
0,2016-01-01,187.4096306,2567.123415,5404.842462,8159.375508,,10897.99683
1,2016-01-01,134.6222028,2522.874145,5335.228648,7992.724996,,
2,2016-01-01,118.7835369,2530.029039,5196.39058,7845.203157,,
3,2016-01-01,110.5243102,2511.099456,5151.688332,7773.312099,,
4,2016-01-01,127.1261214,2577.706603,5085.917625,7790.750349,,
5,2016-01-01,161.780272,2683.765151,5053.369296,7898.91472,,
6,2016-01-01,297.7949412,2962.485638,4856.489914,8116.770493,,
7,2016-01-01,422.5770752,2917.133463,5065.181395,8404.891933,,
8,2016-01-01,488.0523517,2926.048698,5201.462055,8615.563105,,
9,2016-01-01,487.9053753,2996.427181,5333.208923,8817.541479,,
10,2016-01-01,459.9919408,2989.957335,5498.681329,8948.630605,,
11,2016-01-01,380.0608185,2827.130693,5712.066043,8919.257554,,
12,2016-01-01,333.0583794,2625.563971,5806.099275,8764.721626,,
13,2016-01-01,308.4486335,2519.110896,5785.820335,8613.379865,,
14,2016-01-01,297.3416399,2479.162676,5711.825011,8488.329327,,
15,2016-01-01,304.6651131,2499.953212,5799.240762,8603.859087,,
16,2016-01-01,295.4862004,2704.830825,6124.851093,9125.168119,,
17,2016-01-01,319.0395471,2851.009962,6409.33778,9579.387289,,
18,2016-01-01,332.3196786,2806.405386,6351.78602,9490.511085,,
19,2016-01-01,334.9051081,2820.485158,6225.181968,9380.572234,,
20,2016-01-01,305.4279602,2916.875428,5970.874466,9193.177854,,
21,2016-01-01,243.2644282,2739.50068,5996.449015,8979.214123,,
22,2016-01-01,201.7932001,2591.29466,5819.09301,8612.18087,,
23,2016-01-01,182.1087511,2506.243984,5490.150694,8178.503429,,
24,2016-01-02,159.5353213,2479.528734,5235.66412,7874.728175,,
25,2016-01-02,120.309241,2500.504107,5078.257429,7699.070777,,
26,2016-01-02,112.1067469,2516.55532,4979.920407,7608.582473,,
27,2016-01-02,120.2436987,2505.837001,4989.781041,7615.86174,,
28,2016-01-02,173.8177915,2640.059527,4868.507916,7682.385234,,
29,2016-01-02,326.9711164,2811.213374,4664.347289,7802.531779,,
30,2016-01-02,533.8368545,3834.010136,3698.287496,8066.134487,,
31,2016-01-02,554.1799232,3650.279563,4325.795566,8530.255052,,
32,2016-01-02,422.43991,3438.837582,5035.839018,8897.11651,,
33,2016-01-02,353.4991822,3393.887852,5424.31698,9171.704015,,
34,2016-01-02,288.125978,3246.13665,5760.808754,9295.071382,,
35,2016-01-02,252.7391596,3050.259414,5934.901615,9237.900188,,
36,2016-01-02,234.4428084,2997.770569,5841.709376,9073.922754,,
37,2016-01-02,224.5899614,2841.552446,5795.997534,8862.139941,,
38,2016-01-02,215.9017494,2806.265775,5744.154215,8766.321739,,
39,2016-01-02,236.1097062,2784.452966,5846.855129,8867.417801,,
40,2016-01-02,267.4161619,2953.55154,6148.887876,9369.855578,,
41,2016-01-02,299.4903788,3128.773037,6371.220178,9799.483594,,
42,2016-01-02,334.1295359,3148.655193,6214.531171,9697.3159,,
43,2016-01-02,328.8055954,3132.754077,6050.329279,9511.888952,,
44,2016-01-02,302.2767818,3172.358909,5811.945787,9286.581477,,
45,2016-01-02,243.4819225,2768.941447,6024.726857,9037.150226,,
46,2016-01-02,190.6650741,2575.939209,5842.612543,8609.216826,,
47,2016-01-02,172.2126144,2462.783982,5558.888732,8193.885328,,
48,2016-01-03,159.7114528,2384.607289,5357.948395,7902.267137,,
49,2016-01-03,120.2227403,2424.744949,5176.010909,7720.978598,,
50,2016-01-03,112.1583825,2438.111946,5077.234269,7627.504598,,
51,2016-01-03,120.2541452,2496.558923,5037.217091,7654.03016,,
52,2016-01-03,173.8420164,2562.885022,4958.094896,7694.821934,,
53,2016-01-03,327.0160327,2764.16596,4753.398631,7844.580623,,
54,2016-01-03,533.8706402,3618.62929,3942.019471,8094.519402,,
55,2016-01-03,554.1388339,3467.071146,4509.111509,8530.32149,,
56,2016-01-03,422.4180827,3260.685786,5230.891923,8913.995792,,
57,2016-01-03,353.5628985,3079.457265,5769.623676,9202.643839,,
58,2016-01-03,288.0199658,3033.086984,5963.168535,9284.275485,,
59,2016-01-03,252.7924463,2870.420498,6145.001215,9268.214159,,
60,2016-01-03,234.2769295,2716.333508,6163.087007,9113.697445,,
61,2016-01-03,224.8214904,2709.134848,6065.605549,8999.561887,,
62,2016-01-03,215.7976026,2680.224349,6073.426928,8969.44888,,
63,2016-01-03,236.2139842,2867.022675,5995.566722,9098.803381,,
64,2016-01-03,267.3174292,2972.55033,6436.022443,9675.890202,,
65,2016-01-03,299.4903863,3059.701287,6681.998804,10041.19048,,
66,2016-01-03,334.113043,2960.711817,6577.396483,9872.221343,,
67,2016-01-03,328.9241605,2876.184551,6479.524661,9684.633372,,
68,2016-01-03,302.2533842,2979.707141,6167.583994,9449.544519,,
69,2016-01-03,243.5984271,2621.414941,6221.561003,9086.574371,,
70,2016-01-03,190.676572,2385.459711,5995.573418,8571.709701,,
71,2016-01-03,172.2379025,2270.237519,5646.920646,8089.396067,,
72,2016-01-04,187.8003858,2222.98177,5362.395544,7773.1777,,
73,2016-01-04,134.5669681,2229.217953,5280.200955,7643.985877,,
74,2016-01-04,118.7856074,2243.260236,5232.276593,7594.322436,,
75,2016-01-04,110.5719405,2242.550085,5274.589423,7627.711449,,
76,2016-01-04,127.0973023,2326.177047,5317.196786,7770.471136,,
77,2016-01-04,162.4008243,2555.7693,5406.931062,8125.101186,,
78,2016-01-04,299.3897748,3395.752234,5113.933884,8809.075892,,
79,2016-01-04,424.8348931,3281.282841,5953.504661,9659.622395,,
80,2016-01-04,488.0919753,2995.042673,6353.63738,9836.772029,,
81,2016-01-04,488.3287075,2844.416657,6523.107814,9855.853178,,
82,2016-01-04,461.0221039,2708.667031,6658.904533,9828.593668,,
83,2016-01-04,380.9848099,2570.790758,6811.887177,9763.662745,,
84,2016-01-04,335.0535656,2446.6053,6867.976876,9649.635742,,
85,2016-01-04,310.2815878,2476.787428,6731.036275,9518.105291,,
86,2016-01-04,299.1286071,2423.04263,6682.751947,9404.923185,,
87,2016-01-04,305.9864581,2478.980749,6648.516022,9433.483229,,
88,2016-01-04,296.7482517,2617.25874,6997.892053,9911.899045,,
89,2016-01-04,320.0765799,2762.038294,7301.04986,10383.16473,,
90,2016-01-04,334.6418879,2672.543835,7223.603886,10230.78961,,
91,2016-01-04,335.4935947,2684.375173,6994.935824,10014.80459,,
92,2016-01-04,305.8990293,2622.993733,6835.514204,9764.406966,,
93,2016-01-04,244.8189917,2423.777216,6708.777984,9377.374192,,
94,2016-01-04,201.1241885,2223.759923,6367.342396,8792.226508,,
95,2016-01-04,181.5288537,2188.687942,5893.310188,8263.526984,,
96,2016-01-05,187.811372,2130.396571,5572.073423,7890.281365,,
97,2016-01-05,134.6483999,2192.222283,5336.587813,7663.458495,,
98,2016-01-05,118.7587622,2165.312368,5312.965169,7597.036299,,
99,2016-01-05,110.7081073,2193.476192,5300.147556,7604.331855,,
100,2016-01-05,127.0864536,2243.251406,5351.676139,7722.013998,,
101,2016-01-05,162.443123,2405.400997,5511.44261,8079.28673,,
102,2016-01-05,299.3661545,3049.450423,5414.987508,8763.804086,,
103,2016-01-05,424.7872892,3060.048465,6132.711018,9617.546772,,
104,2016-01-05,487.9908252,2772.815641,6554.427498,9815.233964,,
105,2016-01-05,488.4779406,2723.47166,6518.342359,9730.291959,,
106,2016-01-05,460.8494277,2647.501166,6533.304973,9641.655566,,
107,2016-01-05,381.1462944,2558.442136,6658.803291,9598.391721,,
108,2016-01-05,334.9430433,2484.24043,6723.849051,9543.032524,,
109,2016-01-05,310.4636604,2489.232146,6663.194716,9462.890523,,
110,2016-01-05,298.942532,2421.442145,6776.21552,9496.600196,,
111,2016-01-05,306.0674749,2464.043371,6793.560502,9563.671348,,
112,2016-01-05,296.6533253,2650.157139,7024.986228,9971.796693,,
113,2016-01-05,320.1270146,2765.536762,7155.301311,10240.96509,,
114,2016-01-05,334.7305535,2707.99331,7025.044958,10067.76882,,
115,2016-01-05,335.4926502,2735.764827,6735.877993,9807.13547,,
116,2016-01-05,306.0325798,2671.720744,6546.351028,9524.104351,,
117,2016-01-05,244.6807939,2327.675307,6570.442648,9142.798749,,
118,2016-01-05,201.2618003,2158.378324,6236.894131,8596.534255,,
119,2016-01-05,181.4543675,2066.184335,5789.121386,8036.760089,,
120,2016-01-06,159.6278782,1962.61229,5535.585499,7657.825667,,
121,2016-01-06,120.3024534,1988.069188,5275.352132,7383.723774,,
122,2016-01-06,112.0304844,1983.148279,5168.498652,7263.677415,,
123,2016-01-06,120.2056642,1984.920429,5127.559651,7232.685744,,
124,2016-01-06,173.9251194,2041.543675,5106.202653,7321.671447,,
125,2016-01-06,327.0076208,2206.603378,5107.680513,7641.291512,,
