Hour_number,SH_Demand_R_TW,SH_Demand_C_TW,SH_Demand_Total_TW
0,0.002963327310113816,0.0005568675903903271,0.0035201949005041434
1,0.0029022017924663565,0.00039226630861358646,0.003294468101079943
2,0.002881948128199671,0.00047750147984354377,0.0033594496080432148
3,0.002864322421465518,0.0004009785199030264,0.0032653009413685444
4,0.002925362504873232,0.0004968380092906058,0.003422200514163838
5,0.002985114244658287,0.0006230173892063411,0.0036081316338646284
6,0.0031011560862685265,0.0019132568339511572,0.005014412920219684
7,0.003084687850307599,0.0015655830364714029,0.004650270886779002
8,0.0031304347140044945,0.0014977479174310376,0.004628182631435532
9,0.0032803365754326087,0.0012443396026588494,0.004524676178091458
10,0.0033422638916433297,0.0011272792252002366,0.004469543116843566
11,0.0031818889232046697,0.0008904061290271107,0.004072295052231781
12,0.0028725609566951026,0.0007894149876142136,0.003661975944309316
13,0.0028018478203639978,0.0006859041682702699,0.0034877519886342676
14,0.0027715593838614555,0.000707556312663382,0.0034791156965248374
15,0.0027108732433900103,0.0007251272828457273,0.0034360005262357375
16,0.002937372983701625,0.000855452307004449,0.0037928252907060743
17,0.003160107563969864,0.0009780086581867664,0.004138116222156631
18,0.003126538680593421,0.001121831409554051,0.004248370090147472
19,0.0030879557636614642,0.0011733296771897813,0.004261285440851245
20,0.0032603134098739316,0.0012836607022116498,0.004543974112085581
21,0.003074055551820207,0.0005811516867679897,0.0036552072385881967
22,0.0030626740207163722,0.0005982616665179402,0.0036609356872343126
23,0.0029084542617001984,0.000606687112126207,0.0035151413738264054
24,0.0028529003733582027,0.0006002626211993733,0.003453162994557576
25,0.002822497143141946,0.0004580050566314977,0.0032805021997734437
26,0.002898792889752819,0.00048449059578562723,0.003383283485538446
27,0.002843702323931196,0.0004490637911628997,0.0032927661150940956
28,0.003005817748984206,0.0005134810804781329,0.003519298829462339
29,0.0029623621786273374,0.000740095886291063,0.0037024580649184
30,0.003047128730601609,0.0032711167807502346,0.006318245511351843
31,0.0031089716964350293,0.002473522990030809,0.0055824946864658385
32,0.0031840555319383014,0.001975364749551023,0.0051594202814893245
33,0.0033972801280645797,0.0016216246119302724,0.005018904739994852
34,0.0033348849873482372,0.0013397980482175796,0.004674683035565817
35,0.003289388534747214,0.001059957670205695,0.004349346204952909
36,0.003323274364795492,0.0009694818722487864,0.004292756237044278
37,0.0031291318724690886,0.000919114687459117,0.0040482465599282055
38,0.003044695422603289,0.0009632775151470497,0.004007972937750339
39,0.002963407331433233,0.0010625151859414272,0.00402592251737466
40,0.0032448971854225914,0.0011159528140966795,0.004360849999519271
41,0.0032403707291353023,0.0013795122208569597,0.0046198829499922624
42,0.0031782390608002184,0.0014722318236955183,0.0046504708844957365
43,0.0031429699332465107,0.0015939427626206256,0.004736912695867136
44,0.0031818831322972417,0.0017052200006193528,0.004887103132916595
45,0.0031355305539528507,0.0007228262630098253,0.0038583568169626757
46,0.00313414364328466,0.00048684427548973406,0.0036209879187743942
47,0.002997891380824545,0.0005726913194955693,0.0035705827003201145
48,0.002841615255913634,0.00047678246099287997,0.003318397716906514
49,0.002901854371707792,0.0004507532520961847,0.0033526076238039764
50,0.0028962230529189833,0.0003786665441538591,0.0032748895970728426
51,0.002861145559985944,0.0004593783777073609,0.003320523937693305
52,0.002976675970543567,0.00043629759586845586,0.003412973566412023
53,0.0030236501440033723,0.0007515126924451625,0.003775162836448535
54,0.003066815824170609,0.0028906470729011644,0.005957462897071773
55,0.0031461599254588133,0.00220394441365276,0.0053501043391115735
56,0.003271267514620453,0.0017362862727668352,0.005007553787387289
57,0.0031670907238946387,0.0014121233724357983,0.0045792140963304365
58,0.003306740907402956,0.0012278333653417827,0.004534574272744739
59,0.0032530887258689057,0.0009966262298571574,0.004249714955726063
60,0.0030162332307562996,0.0009691277613631653,0.003985360992119465
61,0.0029893273100819713,0.0009715236348649426,0.003960850944946914
62,0.0029457242466724804,0.0010261439376489888,0.0039718681843214695
63,0.003052943479548949,0.0011772082598499759,0.004230151739398925
64,0.0031029190780313158,0.001244282358716707,0.0043472014367480225
65,0.0032076879743143656,0.0011603026140161164,0.004367990588330482
66,0.0031367032160758406,0.0010712596578488147,0.004207962873924656
67,0.0030480028572030422,0.001122850678519831,0.004170853535722873
68,0.003052379151378913,0.0012844183512765643,0.004336797502655477
69,0.0029324392962442034,0.000658877072666275,0.0035913163689104783
70,0.0028866688995682287,0.0004909413675683805,0.0033776102671366093
71,0.002666861324571503,0.000497130921964683,0.003163992246536186
72,0.002609577331244393,0.0004699934222995079,0.003079570753543901
73,0.002599908277072069,0.0003861119849250798,0.0029860202619971486
74,0.002604960997468676,0.00038353830653621926,0.0029884993040048954
75,0.0025857496426396863,0.0003960924412705291,0.0029818420839102153
76,0.002685323805077121,0.0004051422722145373,0.0030904660772916584
77,0.0027078196912173513,0.0006895518228413409,0.003397371514058692
78,0.0028608267289067803,0.0024629727060161734,0.005323799434922954
79,0.002896981286569095,0.0020429155264310985,0.004939896813000194
80,0.002919048961182302,0.0016588440510056544,0.004577893012187957
81,0.002804898234276332,0.0014183449338545484,0.0042232431681308805
82,0.0026993132021790704,0.0012877506589385715,0.0039870638611176415
83,0.0025281683997763734,0.001065452419509906,0.003593620819286279
84,0.0024302942073546317,0.0009999901227762677,0.0034302843301308996
85,0.0025466700815863315,0.000998749356404041,0.0035454194379903724
86,0.0024216545398838244,0.000988123107627543,0.0034097776475113676
87,0.002493966325131018,0.0009779356368490022,0.0034719019619800203
88,0.002585843473271958,0.0010481324913617887,0.003633975964633747
89,0.0029281785674769027,0.0009540078871671352,0.003882186454644038
90,0.002858204132468203,0.0008516519761954248,0.0037098561086636277
91,0.0029624147250528854,0.0009669380750975159,0.003929352800150401
92,0.002890415077161818,0.001006541846764572,0.0038969569239263903
93,0.0028452694720798822,0.00039984256218976,0.0032451120342696423
94,0.0026987006937836096,0.0002995117521272577,0.0029982124459108674
95,0.0026481896536030346,0.00039137672402301984,0.003039566377626054
96,0.002559688425346382,0.00037585561469666095,0.0029355440400430427
97,0.002597899897053815,0.00038822861062926716,0.0029861285076830824
98,0.002560501331858584,0.00031493624253996016,0.002875437574398544
99,0.0025529280876055733,0.00037954531943855396,0.0029324734070441272
100,0.0025817035925765858,0.00036477790016087314,0.002946481492737459
101,0.002624232789635733,0.0006091766376887177,0.0032334094273244506
102,0.0027086332678447115,0.0026938995239681515,0.005402532791812863
103,0.002873963281566508,0.0022743463211411527,0.005148309602707661
104,0.0027546878534625385,0.0019232240279209098,0.004677911881383449
105,0.002775276783991377,0.0016029181747260646,0.0043781949587174416
106,0.002729196903124647,0.0013705285124948276,0.004099725415619475
107,0.0027897198846367688,0.0010289938572981975,0.003818713741934966
108,0.0026350973019389425,0.0008424932382269715,0.0034775905401659138
109,0.0027265010195142722,0.0007982287300386696,0.0035247297495529417
110,0.0026712822576759514,0.0007616540080688601,0.0034329362657448117
111,0.0027521200394124827,0.0007615429592858629,0.0035136629986983457
112,0.002916981976061426,0.0010037381350516126,0.003920720111113039
113,0.002967154669765074,0.001210100898122497,0.0041772555678875715
114,0.0028382865165238196,0.0013222323890508547,0.0041605189055746745
115,0.002852729177508718,0.0016761981768827782,0.004528927354391496
116,0.0027321585168463237,0.0018169334531000897,0.004549091969946413
117,0.002716011233736731,0.000625992277768818,0.003342003511505549
118,0.002712369362096962,0.0004566207045184799,0.003168990066615442
119,0.002532512373118681,0.0005596587683236798,0.0030921711414423608
120,0.0023547717242180756,0.00047713108834171263,0.0028319028125597884
121,0.0023019038384407753,0.00047093477632249376,0.002772838614763269
122,0.0022686466294380855,0.0003980474143536573,0.0026666940437917426
123,0.002324636546453411,0.0005162856046372138,0.0028409221510906245
124,0.002336884465442968,0.0005049218494261875,0.0028418063148691556
125,0.002418263525392357,0.0007605982665481867,0.003178861791940544
126,0.0026689923942258597,0.0035998904457025856,0.006268882839928445
127,0.002596406836621806,0.0034971140444658563,0.006093520881087663
128,0.002637287505843306,0.0031090617208209665,0.005746349226664272
129,0.002465029232231151,0.002535395655510571,0.005000424887741722
130,0.002304721253022068,0.002001180337802126,0.004305901590824194
131,0.0021805886579078283,0.0016228914001185464,0.0038034800580263746
132,0.001952030341651706,0.0013754875409627066,0.0033275178826144124
133,0.0019723086564470606,0.0012608418095028115,0.003233150465949872
134,0.0019533447661248746,0.0012235050514084298,0.0031768498175333043
135,0.0020804595832906187,0.0011933674364759438,0.0032738270197665625
136,0.002368544394091622,0.001358110001667937,0.003726654395759559
137,0.0024650334089194575,0.001449726374270214,0.003914759783189671
138,0.0025454007606652805,0.0017598757766982356,0.004305276537363516
139,0.0025551917626654,0.0021263869967035522,0.004681578759368952
140,0.002438156513093402,0.0022625587664549455,0.004700715279548347
141,0.0023832534185062363,0.0017619974039190453,0.004145250822425282
142,0.002388913731392993,0.00063057168375729,0.0030194854151502828
143,0.002183739294373165,0.000739639364854703,0.002923378659227868
144,0.0021734431615084543,0.0006372120190615015,0.0028106551805699557
145,0.002146971461457665,0.0006031031908094499,0.0027500746522671152
146,0.002148503133582519,0.0005407503439532124,0.0026892534775357314
147,0.002225835655782522,0.0006290841627193184,0.00285491981850184
148,0.002304257570826592,0.0005410604100041617,0.0028453179808307534
149,0.0022553102696551445,0.0008024283976144267,0.003057738667269571
150,0.002369473880254733,0.0009945513405268138,0.0033640252207815463
151,0.0024676428454297778,0.0014460026689413691,0.003913645514371147
152,0.0025053765082786584,0.002594231232221898,0.005099607740500557
153,0.002355083766731916,0.002064238375843703,0.004419322142575619
154,0.002206170218386471,0.0015540226862325924,0.0037601929046190636
155,0.0022955360916075453,0.00137756960945608,0.003673105701063625
156,0.002133847707150789,0.0011906169879028032,0.003324464695053592
157,0.0021680370065924066,0.0012002879984482162,0.0033683250050406226
158,0.0021798597391609847,0.0011962458756996583,0.003376105614860643
159,0.002277573122777176,0.0012469950490181186,0.0035245681717952946
160,0.002397501349107773,0.0011923169780192274,0.0035898183271270002
161,0.002550704303313743,0.0013788296509086918,0.003929533954222434
162,0.0025953746540596056,0.001306544063007267,0.0039019187170668728
163,0.002632994602220101,0.000625145034147762,0.003258139636367863
164,0.0025193177116803367,0.0006424898521198389,0.003161807563800176
165,0.002436839597757824,0.0006062036775739949,0.0030430432753318186
166,0.002366374959610762,0.0005611053924009237,0.002927480352011686
167,0.0022937252767895014,0.0005699442700756384,0.0028636695468651397
168,0.002173273129074916,0.0005587894222393164,0.0027320625513142325
169,0.0021006915868927336,0.0004446833892209584,0.002545374976113692
170,0.0020850060819636263,0.0004528690189414328,0.0025378751009050592
171,0.002122899486512803,0.00044055705300210585,0.002563456539514909
172,0.0021682529219605065,0.0005088976247819352,0.002677150546742442
173,0.0023023534162585108,0.0006790669208343807,0.0029814203370928916
174,0.0024170917241056055,0.002060818138078211,0.004477909862183816
175,0.0024292279446258835,0.0016781788552113453,0.004107406799837229
176,0.0024566242405021704,0.0015560485893555286,0.004012672829857699
177,0.0024001266462192333,0.0012904549185847407,0.003690581564803974
178,0.0022935358212091634,0.0011588301412885718,0.003452365962497735
179,0.0022660081252363485,0.0009787367500665046,0.003244744875302853
180,0.002143270972622447,0.0009258712075615532,0.003069142180184
181,0.002062416219818114,0.0008831527047182128,0.002945568924536327
182,0.0020339329568316747,0.0009104039127317724,0.002944336869563447
183,0.0020384145486592345,0.0008903619955264229,0.0029287765441856576
184,0.002197084082853746,0.0009998324978518006,0.0031969165807055468
185,0.0024206034303260794,0.0010244011525032302,0.0034450045828293098
186,0.0023304930253143794,0.0009660076062809112,0.0032965006315952908
187,0.002404165011466073,0.0009586648148349276,0.0033628298263010006
188,0.002431599986755007,0.0010862345865798903,0.0035178345733348974
189,0.0024360261614072122,0.0005244218582587377,0.00296044801966595
190,0.002471797429788649,0.0005155126324600883,0.0029873100622487374
191,0.002436192953914339,0.0005050567111150885,0.0029412496650294273
192,0.0022252076914636024,0.000498855593154542,0.0027240632846181442
193,0.002269613562582435,0.00040216449350257257,0.0026717780560850074
194,0.0023225327599352944,0.000413076375762072,0.0027356091356973665
195,0.0023083710594540233,0.00040824941391972365,0.0027166204733737468
196,0.0024405611680113834,0.0004902465124517679,0.0029308076804631512
197,0.0024518194682388956,0.0007490029418384823,0.003200822410077378
198,0.0025341810030287608,0.0032025431502773678,0.0057367241533061285
199,0.0026686590752537185,0.0025184893022435545,0.005187148377497273
200,0.0028151171805520943,0.0020391179515564994,0.004854235132108593
201,0.0026618071805041125,0.0016994199558642018,0.004361227136368315
202,0.0025969519202733065,0.0014964129702760114,0.004093364890549318
203,0.002514033564710686,0.001259610922767697,0.003773644487478383
204,0.0023454519366873736,0.0011290122112191682,0.003474464147906542
205,0.0022648224739530384,0.0010792586906132867,0.003344081164566325
206,0.0021924292324866012,0.001045607336280098,0.0032380365687666992
207,0.0021215950129645513,0.0010865499407175733,0.0032081449536821246
208,0.0021688243250366367,0.001194004739614134,0.0033628290646507708
209,0.002484030081589163,0.001340096010716954,0.003824126092306117
210,0.0025005551647017607,0.0012063152817478873,0.003706870446449648
211,0.0024889228303490835,0.001280783558539925,0.0037697063888890085
212,0.0024546269648050203,0.0013860967337725415,0.003840723698577562
213,0.0023929932253674065,0.0005637505041664299,0.0029567437295338365
214,0.00250197369948415,0.0003749431224569351,0.0028769168219410853
215,0.0023941022839057574,0.00044973159670131025,0.0028438338806070678
216,0.002368249104456509,0.00040036178036888937,0.0027686108848253986
217,0.002357992148710492,0.0003966378541077586,0.0027546300028182505
218,0.0023654302700050474,0.00033332548640808827,0.002698755756413136
219,0.0022895133421311446,0.00039809812188468664,0.0026876114640158313
220,0.002308425493914744,0.0003800322592074954,0.0026884577531222395
221,0.0023340030400944172,0.0006518946000337956,0.002985897640128213
222,0.0023599047558163404,0.00253119275739492,0.0048910975132112604
223,0.0024766025681189465,0.0021612915048255877,0.004637894072944534
224,0.0025971195572049833,0.0018175924545472675,0.0044147120117522505
225,0.0025917120741514644,0.0014733304077535203,0.004065042481904984
226,0.002658213928059249,0.0012687189365504323,0.003926932864609681
227,0.0025241424759713527,0.0010653336585381716,0.0035894761345095245
228,0.0025093624169323574,0.0009578356804996902,0.0034671980974320476
229,0.0023655146592521316,0.0009221540149097584,0.00328766867416189
230,0.002221543301864493,0.000896936576015016,0.003118479877879509
231,0.002171212235022606,0.0008947079932225877,0.0030659202282451938
232,0.00247144059165779,0.0010249282244211334,0.0034963688160789238
233,0.0025784699259247114,0.0012196643372032415,0.003798134263127953
234,0.002517042484692195,0.0013270457154794437,0.0038440882001716387
235,0.0025550434355534946,0.001469583386600017,0.004024626822153512
236,0.002559671502995376,0.0015461872926149005,0.004105858795610277
237,0.0025273028447406433,0.0006175296393463363,0.0031448324840869795
238,0.002619185892278912,0.00044572764923253013,0.003064913541511442
239,0.0024311055092356014,0.0005324501480587777,0.002963555657294379
240,0.0023671632339062726,0.0004451918721523431,0.0028123551060586158
241,0.0022932494415660427,0.0004296845917450963,0.0027229340333111388
242,0.0023516205145529285,0.00035418500795128923,0.0027058055225042178
243,0.0023966800798901917,0.0004307366747675296,0.0028274167546577214
244,0.002465078327537763,0.0004018196553620128,0.0028668979828997757
245,0.002525438969811204,0.0006930800037207194,0.0032185189735319236
246,0.0027252022074802477,0.002928468633846641,0.005653670841326889
247,0.0027916425429515865,0.0025133346003179137,0.0053049771432695
248,0.0027492614385763365,0.0021936361978599213,0.004942897636436258
249,0.00267029006918902,0.0018605990636139918,0.004530889132803011
