
Summary,BC,AB
Emissions
,CO2,0
,CO2c,0
,IMPORTS,-6.42889e-15
,CO2,0.476559
,CO2c,0
,IMPORTS,-8.92196

Cost,611.848,387.885
,0,0.833176

TotalAnnualCapacity (Capacity Units)
,GMSPC,MICARVL,SITEC,HYDRO,PCOAL,COALCCS,SCGT,CCGT,COGEN,CCGTCCS,NUCLR,WIND,SOLAR,GEOTHERM,BIOMASS,TX1,TX2,USTRADEJJ,USTRADEJD,MILLGEN,DEBRISGEN,IMPCOAL,IMPGAS
2015,3.46,5.17,0,5.06,0,0,0,0,0,0,0,0.55,0,0,0.45,0.75,2.5261,3.5,3.5,0,0,0,0
2015,11.1353,2.69991,0,0.894,6.286,0,1.002,1.703,4.63,0,0,1.445,0,0,0.404,0.75,2.5261,0,0,0,0,0,3.05811

NewCapacity (Capacity Units )

,GMSPC,MICARVL,SITEC,HYDRO,PCOAL,COALCCS,SCGT,CCGT,COGEN,CCGTCCS,NUCLR,WIND,SOLAR,GEOTHERM,BIOMASS,TX1,TX2,USTRADEJJ,USTRADEJD,MILLGEN,DEBRISGEN,IMPCOAL,IMPGAS
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,2.5261,3.5,3.5,0,0,0,0
2015,11.1353,2.69991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,2.5261,0,0,0,0,0,3.05811


Annual Production (Energy Units)
,GMSPC,MICARVL,SITEC,HYDRO,PCOAL,COALCCS,SCGT,CCGT,COGEN,CCGTCCS,NUCLR,WIND,SOLAR,GEOTHERM,BIOMASS,TX1,TX2,USTRADEJJ,USTRADEJD,MILLGEN,DEBRISGEN,IMPCOAL,IMPGAS
,ELEC
2015,16.8793,18.0225,0,16.1908,0,0,0,0,0,0,0,1.04943,0,0,0,2.51105,7.8325,0,0,0,0,0,0
,PHD
2015,0.956396,0.471849,0,0.836477,0,0,0,0,0,0,0,0,0,0,0,0,0.00923221,0,0,0,0,0,0
,PrimReserveUp
2015,5.91496,1.03687,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9501,3.56626,0,0,0,0,0,0
,SecReserveUp
2015,0.0604539,3.38772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,PrimReserveDown
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SecReserveDown
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TXELEC
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2446,0,0,0,0,0,0
,TXPHD
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TXRAMP
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3145,0,0,0,0,0,0
,TXRESERV
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,MIDC
